"disp:0","disp:1","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
0.018785,0,-0.0004641,-0.25,0,0.72478,-0.0061413,-0.0061413,0.03306
0.018967,0,0.004831,-0.25,0,0.73923,-0.0056214,-0.0056214,0.035442
0.018962,-4.1968e-05,0.0047647,-0.24574,0,0.73963,-0.011236,-0.011236,0.035192
0.018782,-4.4345e-05,-0.00045564,-0.24544,0,0.72537,-0.012254,-0.012254,0.032795
0.019153,0,0.010126,-0.25,0,0.75318,-0.0052233,-0.0052233,0.037775
0.019145,-4.224e-05,0.0099856,-0.24575,0,0.75344,-0.010451,-0.010451,0.037534
0.019345,0,0.015492,-0.25,0,0.76649,-0.0049377,-0.0049377,0.04009
0.019334,-4.2471e-05,0.015275,-0.24577,0,0.76663,-0.0098835,-0.0098835,0.039848
0.019537,0,0.020787,-0.25,0,0.77915,-0.0046711,-0.0046711,0.042404
0.019524,-4.2652e-05,0.020496,-0.24579,0,0.77918,-0.0093544,-0.0093544,0.042159
0.019736,0,0.026184,-0.25,0,0.79124,-0.0044211,-0.0044211,0.044738
0.01972,-4.2794e-05,0.025815,-0.24581,0,0.79118,-0.0088582,-0.0088582,0.04449
0.019937,0,0.031554,-0.25,0,0.80278,-0.0041871,-0.0041871,0.0471
0.019918,-4.289e-05,0.031108,-0.24583,0,0.80262,-0.0083938,-0.0083938,0.046845
0.02014,0,0.036923,-0.25,0,0.81377,-0.0039685,-0.0039685,0.049496
0.020118,-4.2943e-05,0.036401,-0.24585,0,0.81353,-0.0079597,-0.0079597,0.049233
0.020347,0,0.042321,-0.25,0,0.82422,-0.0037643,-0.0037643,0.051932
0.020322,-4.2952e-05,0.04172,-0.24587,0,0.8239,-0.0075542,-0.0075542,0.051659
0.020553,0,0.047616,-0.25,0,0.8341,-0.0035748,-0.0035748,0.054402
0.020525,-4.2917e-05,0.046941,-0.24589,0,0.83373,-0.0071772,-0.0071772,0.054117
0.020761,0,0.052911,-0.25,0,0.84353,-0.0033977,-0.0033977,0.056934
0.02073,-4.284e-05,0.052162,-0.2459,0,0.84309,-0.006824,-0.006824,0.056635
0.020975,0,0.058285,-0.25,0,0.85256,-0.0032302,-0.0032302,0.059548
0.02094,-4.2724e-05,0.057459,-0.24592,0,0.85208,-0.0064911,-0.0064911,0.059232
0.021187,0,0.06358,-0.25,0,0.86117,-0.0030734,-0.0030734,0.062232
0.021149,-4.2566e-05,0.062679,-0.24594,0,0.86064,-0.0061791,-0.0061791,0.061897
0.021401,0,0.068875,-0.25,0,0.86938,-0.0029268,-0.0029268,0.064995
0.02136,-4.237e-05,0.0679,-0.24596,0,0.86881,-0.0058863,-0.0058863,0.06464
0.021618,0,0.074192,-0.25,0,0.87729,-0.0027877,-0.0027877,0.067874
0.021574,-4.2134e-05,0.073142,-0.24598,0,0.87668,-0.0056086,-0.0056086,0.067495
0.021841,0,0.079609,-0.25,0,0.88495,-0.0026546,-0.0026546,0.070888
0.021793,-4.1857e-05,0.078481,-0.246,0,0.8843,-0.0053437,-0.0053437,0.070482
0.022067,0,0.085038,-0.25,0,0.89231,-0.0025277,-0.0025277,0.07403
0.022015,-4.1541e-05,0.083831,-0.24602,0,0.89164,-0.0050919,-0.0050919,0.073593
0.022293,0,0.090457,-0.25,0,0.89934,-0.0024082,-0.0024082,0.077275
0.022238,-4.1186e-05,0.089172,-0.24603,0,0.89863,-0.0048545,-0.0048545,0.076805
0.022517,0,0.095784,-0.25,0,0.906,-0.0022966,-0.0022966,0.080611
0.022458,-4.0795e-05,0.094424,-0.24605,0,0.90527,-0.0046316,-0.0046316,0.080106
0.022741,0,0.10109,-0.25,0,0.91235,-0.0021914,-0.0021914,0.084061
0.022679,-4.0367e-05,0.09965,-0.24607,0,0.91161,-0.0044209,-0.0044209,0.083519
0.022969,0,0.10643,-0.25,0,0.91847,-0.0020903,-0.0020903,0.087665
0.022903,-3.9899e-05,0.10492,-0.24609,0,0.91771,-0.0042193,-0.0042193,0.087081
0.023199,0,0.11181,-0.25,0,0.92434,-0.001993,-0.001993,0.091418
0.02313,-3.9392e-05,0.11022,-0.24611,0,0.92357,-0.0040262,-0.0040262,0.090788
0.023427,0,0.1171,-0.25,0,0.92995,-0.0019006,-0.0019006,0.095307
0.023354,-3.8852e-05,0.11544,-0.24613,0,0.92916,-0.0038421,-0.0038421,0.094629
0.023658,0,0.12244,-0.25,0,0.93531,-0.0018117,-0.0018117,0.099342
0.023581,-3.8269e-05,0.1207,-0.24615,0,0.93451,-0.0036659,-0.0036659,0.098613
0.023886,0,0.1277,-0.25,0,0.94035,-0.0017271,-0.0017271,0.10346
0.023806,-3.7656e-05,0.12589,-0.24616,0,0.93955,-0.0034986,-0.0034986,0.10268
0.024103,0,0.13267,-0.25,0,0.94506,-0.0016495,-0.0016495,0.10763
0.02402,-3.703e-05,0.1308,-0.24618,0,0.94425,-0.003342,-0.003342,0.1068
0.024324,0,0.13774,-0.25,0,0.94958,-0.0015741,-0.0015741,0.11199
0.024238,-3.6359e-05,0.1358,-0.2462,0,0.94878,-0.0031905,-0.0031905,0.1111
0.024554,0,0.14296,-0.25,0,0.95395,-0.0014978,-0.0014978,0.11656
0.024464,-3.5636e-05,0.14095,-0.24622,0,0.95315,-0.0030407,-0.0030407,0.1156
0.024772,0,0.14793,-0.25,0,0.95808,-0.0014254,-0.0014254,0.12126
0.02468,-3.4902e-05,0.14586,-0.24624,0,0.95728,-0.0028966,-0.0028966,0.12023
0.024995,0,0.15298,-0.25,0,0.96204,-0.0013552,-0.0013552,0.12619
0.0249,-3.4121e-05,0.15084,-0.24626,0,0.96125,-0.002756,-0.002756,0.12508
