"Points:0","Points:1","Points:2","disp:0","disp:1","ids"
0,0,0,0,0,1
0.0022435,0.0001961,0,0.00025144,0.0001961,2
0.0021533,0.0021271,0,0.00016122,0.00013511,3
0,0.001992,0,0,0,4
0.0044185,0.00032914,0,0.00043441,0.00032914,5
0.0043193,0.0022695,0,0.00033525,0.00027749,6
0.0065662,0.00044803,0,0.00059011,0.00044803,7
0.0064702,0.0023911,0,0.00049413,0.00039908,8
0.0087002,0.00055457,0,0.00073209,0.00055457,9
0.0086088,0.0025009,0,0.00064063,0.00050884,10
0.010825,0.00065299,0,0.00086493,0.00065299,11
0.010738,0.0026016,0,0.00077784,0.0006096,12
0.012943,0.00074504,0,0.00099113,0.00074504,13
0.01286,0.0026956,0,0.00090798,0.00070353,14
0.015056,0.00083193,0,0.0011122,0.00083193,15
0.014977,0.002784,0,0.0010325,0.00079194,16
0.017165,0.00091445,0,0.001229,0.00091445,17
0.017089,0.0028678,0,0.0011526,0.00087573,18
0.019271,0.00099318,0,0.0013424,0.00099318,19
0.019197,0.0029476,0,0.0012689,0.00095553,20
0.021373,0.0010686,0,0.0014528,0.0010686,21
0.021302,0.0030239,0,0.001382,0.0010318,22
0.023473,0.0011409,0,0.0015607,0.0011409,23
0.023405,0.0030971,0,0.0014924,0.001105,24
0.025571,0.0012106,0,0.0016665,0.0012106,25
0.025505,0.0031674,0,0.0016004,0.0011754,26
0.027667,0.0012778,0,0.0017703,0.0012778,27
0.027603,0.0032352,0,0.0017063,0.0012432,28
0.029761,0.0013427,0,0.0018724,0.0013427,29
0.029699,0.0033006,0,0.0018104,0.0013086,30
0.031853,0.0014054,0,0.0019729,0.0014054,31
0.031793,0.0033639,0,0.0019128,0.0013718,32
0.033945,0.0014661,0,0.0020721,0.0014661,33
0.033886,0.0034251,0,0.0020138,0.001433,34
0.036035,0.001525,0,0.0021701,0.001525,35
0.035978,0.0034844,0,0.0021134,0.0014923,36
0.038123,0.0015821,0,0.0022669,0.0015821,37
0.038068,0.0035418,0,0.0022119,0.0015498,38
0.040211,0.0016376,0,0.0023627,0.0016376,39
0.040158,0.0035976,0,0.0023092,0.0016056,40
0.042298,0.0016915,0,0.0024576,0.0016915,41
0.042246,0.0036518,0,0.0024055,0.0016598,42
0.044384,0.0017438,0,0.0025516,0.0017438,43
0.044334,0.0037045,0,0.0025009,0.0017124,44
0.04647,0.0017948,0,0.0026449,0.0017948,45
0.04642,0.0037557,0,0.0025955,0.0017636,46
0.048554,0.0018444,0,0.0027374,0.0018444,47
0.048506,0.0038055,0,0.0026893,0.0018135,48
0.050638,0.0018927,0,0.0028293,0.0018927,49
0.050591,0.003854,0,0.0027824,0.001862,50
