"Cell Type","ids","object_id","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
9,1,0,2.3634,0.48391,0.48391,0.4612
9,2,0,1.9243,0.17276,0.17276,0.03828
9,3,0,1.693,0.091023,0.091023,0.025639
9,4,0,1.5477,0.057957,0.057957,0.0088385
9,5,0,1.4478,0.041426,0.041426,0.0053408
9,6,0,1.3737,0.031618,0.031618,0.0032463
9,7,0,1.3158,0.025187,0.025187,0.0022246
9,8,0,1.269,0.020673,0.020673,0.0015982
9,9,0,1.2302,0.017349,0.017349,0.0012003
9,10,0,1.1974,0.014811,0.014811,0.00093041
9,11,0,1.1692,0.012816,0.012816,0.00073993
9,12,0,1.1447,0.011212,0.011212,0.00060077
9,13,0,1.1232,0.0098988,0.0098988,0.00049626
9,14,0,1.1041,0.0088055,0.0088055,0.00041592
9,15,0,1.0871,0.0078834,0.0078834,0.00035294
9,16,0,1.0719,0.0070966,0.0070966,0.00030272
9,17,0,1.0581,0.0064186,0.0064186,0.00026208
9,18,0,1.0456,0.0058292,0.0058292,0.00022877
9,19,0,1.0343,0.0053128,0.0053128,0.00020115
9,20,0,1.0239,0.0048572,0.0048572,0.00017802
9,21,0,1.0144,0.0044529,0.0044529,0.00015848
9,22,0,1.0057,0.004092,0.004092,0.00014182
9,23,0,0.99772,0.0037683,0.0037683,0.00012752
9,24,0,0.99034,0.0034766,0.0034766,0.00011516
9,25,0,0.98353,0.0032127,0.0032127,0.00010441
9,26,0,0.97723,0.0029729,0.0029729,9.5004e-05
9,27,0,0.97139,0.0027544,0.0027544,8.6737e-05
9,28,0,0.96598,0.0025546,0.0025546,7.9434e-05
9,29,0,0.96096,0.0023714,0.0023714,7.2952e-05
9,30,0,0.9563,0.0022029,0.0022029,6.7176e-05
9,31,0,0.95196,0.0020476,0.0020476,6.2009e-05
9,32,0,0.94793,0.001904,0.001904,5.7369e-05
9,33,0,0.94418,0.0017711,0.0017711,5.3189e-05
9,34,0,0.94069,0.0016477,0.0016477,4.9412e-05
9,35,0,0.93744,0.001533,0.001533,4.5987e-05
9,36,0,0.93442,0.0014261,0.0014261,4.2873e-05
9,37,0,0.93161,0.0013264,0.0013264,4.0035e-05
9,38,0,0.92899,0.0012333,0.0012333,3.7441e-05
9,39,0,0.92655,0.0011461,0.0011461,3.5065e-05
9,40,0,0.92429,0.0010643,0.0010643,3.2884e-05
9,41,0,0.92219,0.00098766,0.00098766,3.0877e-05
9,42,0,0.92023,0.00091562,0.00091562,2.9027e-05
9,43,0,0.91842,0.00084786,0.00084786,2.7317e-05
9,44,0,0.91675,0.00078405,0.00078405,2.5735e-05
9,45,0,0.91519,0.00072391,0.00072391,2.4269e-05
9,46,0,0.91376,0.00066717,0.00066717,2.2906e-05
9,47,0,0.91244,0.0006136,0.0006136,2.1639e-05
9,48,0,0.91122,0.00056297,0.00056297,2.0459e-05
9,49,0,0.91011,0.00051508,0.00051508,1.9357e-05
9,50,0,0.90909,0.00046975,0.00046975,1.8328e-05
9,51,0,0.90816,0.00042682,0.00042682,1.7365e-05
9,52,0,0.90731,0.00038614,0.00038614,1.6463e-05
9,53,0,0.90654,0.00034755,0.00034755,1.5617e-05
9,54,0,0.90585,0.00031094,0.00031094,1.4822e-05
9,55,0,0.90523,0.00027618,0.00027618,1.4075e-05
9,56,0,0.90468,0.00024317,0.00024317,1.3371e-05
9,57,0,0.9042,0.0002118,0.0002118,1.2708e-05
9,58,0,0.90378,0.00018198,0.00018198,1.2083e-05
9,59,0,0.90342,0.00015362,0.00015362,1.1493e-05
9,60,0,0.90311,0.00012664,0.00012664,1.0935e-05
9,61,0,0.90286,0.00010097,0.00010097,1.0407e-05
9,62,0,0.90265,7.6535e-05,7.6535e-05,9.9069e-06
9,63,0,0.9025,5.3269e-05,5.3269e-05,9.4332e-06
9,64,0,0.90239,3.1113e-05,3.1113e-05,8.984e-06
9,65,0,0.90233,1.0009e-05,1.0009e-05,8.5577e-06
9,66,0,0.9023,-1.0095e-05,-1.0095e-05,8.1527e-06
9,67,0,0.90232,-2.9249e-05,-2.9249e-05,7.7678e-06
9,68,0,0.90237,-4.75e-05,-4.75e-05,7.4016e-06
9,69,0,0.90247,-6.4892e-05,-6.4892e-05,7.053e-06
9,70,0,0.90259,-8.1465e-05,-8.1465e-05,6.721e-06
9,71,0,0.90275,-9.7259e-05,-9.7259e-05,6.4045e-06
9,72,0,0.90294,-0.00011231,-0.00011231,6.1028e-06
9,73,0,0.90316,-0.00012665,-0.00012665,5.8148e-06
9,74,0,0.90341,-0.00014032,-0.00014032,5.5398e-06
9,75,0,0.90368,-0.00015333,-0.00015333,5.2772e-06
9,76,0,0.90398,-0.00016573,-0.00016573,5.0262e-06
9,77,0,0.90431,-0.00017754,-0.00017754,4.7861e-06
9,78,0,0.90466,-0.00018879,-0.00018879,4.5565e-06
9,79,0,0.90503,-0.00019949,-0.00019949,4.3367e-06
9,80,0,0.90542,-0.00020968,-0.00020968,4.1263e-06
9,81,0,0.90584,-0.00021937,-0.00021937,3.9247e-06
9,82,0,0.90627,-0.00022859,-0.00022859,3.7315e-06
9,83,0,0.90672,-0.00023736,-0.00023736,3.5463e-06
9,84,0,0.90719,-0.00024568,-0.00024568,3.3687e-06
9,85,0,0.90767,-0.00025359,-0.00025359,3.1983e-06
9,86,0,0.90817,-0.0002611,-0.0002611,3.0348e-06
9,87,0,0.90869,-0.00026822,-0.00026822,2.8778e-06
9,88,0,0.90922,-0.00027497,-0.00027497,2.7271e-06
9,89,0,0.90976,-0.00028137,-0.00028137,2.5823e-06
9,90,0,0.91031,-0.00028742,-0.00028742,2.4432e-06
9,91,0,0.91088,-0.00029315,-0.00029315,2.3096e-06
9,92,0,0.91146,-0.00029856,-0.00029856,2.1811e-06
9,93,0,0.91205,-0.00030367,-0.00030367,2.0576e-06
9,94,0,0.91265,-0.00030849,-0.00030849,1.9388e-06
9,95,0,0.91326,-0.00031302,-0.00031302,1.8246e-06
9,96,0,0.91388,-0.00031729,-0.00031729,1.7147e-06
9,97,0,0.9145,-0.0003213,-0.0003213,1.609e-06
9,98,0,0.91514,-0.00032506,-0.00032506,1.5073e-06
9,99,0,0.91578,-0.00032858,-0.00032858,1.4094e-06
9,100,0,0.91643,-0.00033187,-0.00033187,1.3152e-06
9,101,0,0.91709,-0.00033493,-0.00033493,1.2245e-06
9,102,0,0.91775,-0.00033779,-0.00033779,1.1372e-06
9,103,0,0.91842,-0.00034043,-0.00034043,1.0531e-06
9,104,0,0.91909,-0.00034288,-0.00034288,9.7221e-07
9,105,0,0.91977,-0.00034514,-0.00034514,8.9428e-07
9,106,0,0.92045,-0.00034721,-0.00034721,8.1924e-07
9,107,0,0.92114,-0.00034911,-0.00034911,7.4698e-07
9,108,0,0.92183,-0.00035083,-0.00035083,6.7739e-07
9,109,0,0.92252,-0.00035239,-0.00035239,6.1038e-07
9,110,0,0.92322,-0.00035379,-0.00035379,5.4584e-07
9,111,0,0.92392,-0.00035504,-0.00035504,4.8368e-07
9,112,0,0.92462,-0.00035615,-0.00035615,4.2383e-07
9,113,0,0.92532,-0.00035711,-0.00035711,3.6619e-07
9,114,0,0.92603,-0.00035794,-0.00035794,3.1069e-07
9,115,0,0.92674,-0.00035863,-0.00035863,2.5724e-07
9,116,0,0.92745,-0.0003592,-0.0003592,2.0577e-07
9,117,0,0.92816,-0.00035965,-0.00035965,1.5622e-07
9,118,0,0.92887,-0.00035998,-0.00035998,1.0851e-07
9,119,0,0.92958,-0.0003602,-0.0003602,6.2572e-08
9,120,0,0.93029,-0.00036031,-0.00036031,1.8352e-08
9,121,0,0.93101,-0.00036031,-0.00036031,-2.4216e-08
9,122,0,0.93172,-0.00036022,-0.00036022,-6.5189e-08
9,123,0,0.93243,-0.00036002,-0.00036002,-1.0462e-07
9,124,0,0.93314,-0.00035974,-0.00035974,-1.4258e-07
9,125,0,0.93386,-0.00035936,-0.00035936,-1.791e-07
9,126,0,0.93457,-0.0003589,-0.0003589,-2.1425e-07
9,127,0,0.93528,-0.00035836,-0.00035836,-2.4807e-07
9,128,0,0.93599,-0.00035773,-0.00035773,-2.806e-07
9,129,0,0.93669,-0.00035703,-0.00035703,-3.1191e-07
9,130,0,0.9374,-0.00035626,-0.00035626,-3.4202e-07
9,131,0,0.9381,-0.00035541,-0.00035541,-3.7099e-07
9,132,0,0.93881,-0.0003545,-0.0003545,-3.9886e-07
9,133,0,0.93951,-0.00035352,-0.00035352,-4.2567e-07
9,134,0,0.94021,-0.00035248,-0.00035248,-4.5146e-07
9,135,0,0.94091,-0.00035137,-0.00035137,-4.7627e-07
9,136,0,0.9416,-0.00035021,-0.00035021,-5.0013e-07
9,137,0,0.9423,-0.00034899,-0.00034899,-5.2309e-07
9,138,0,0.94299,-0.00034772,-0.00034772,-5.4518e-07
9,139,0,0.94367,-0.00034639,-0.00034639,-5.6644e-07
9,140,0,0.94436,-0.00034501,-0.00034501,-5.869e-07
9,141,0,0.94504,-0.00034359,-0.00034359,-6.066e-07
9,142,0,0.94572,-0.00034212,-0.00034212,-6.2556e-07
9,143,0,0.9464,-0.0003406,-0.0003406,-6.4383e-07
9,144,0,0.94707,-0.00033905,-0.00033905,-6.6144e-07
9,145,0,0.94775,-0.00033745,-0.00033745,-6.7841e-07
9,146,0,0.94841,-0.0003358,-0.0003358,-6.9478e-07
9,147,0,0.94908,-0.00033413,-0.00033413,-7.1057e-07
9,148,0,0.94974,-0.00033241,-0.00033241,-7.2583e-07
9,149,0,0.9504,-0.00033066,-0.00033066,-7.4058e-07
9,150,0,0.95105,-0.00032887,-0.00032887,-7.5484e-07
9,151,0,0.9517,-0.00032705,-0.00032705,-7.6865e-07
9,152,0,0.95235,-0.00032519,-0.00032519,-7.8204e-07
9,153,0,0.95299,-0.00032331,-0.00032331,-7.9503e-07
9,154,0,0.95363,-0.00032139,-0.00032139,-8.0765e-07
9,155,0,0.95427,-0.00031944,-0.00031944,-8.1993e-07
9,156,0,0.9549,-0.00031747,-0.00031747,-8.319e-07
9,157,0,0.95553,-0.00031546,-0.00031546,-8.4359e-07
9,158,0,0.95615,-0.00031343,-0.00031343,-8.5501e-07
9,159,0,0.95677,-0.00031137,-0.00031137,-8.6621e-07
9,160,0,0.95739,-0.00030928,-0.00030928,-8.7721e-07
9,161,0,0.958,-0.00030717,-0.00030717,-8.8802e-07
9,162,0,0.95861,-0.00030503,-0.00030503,-8.9869e-07
9,163,0,0.95921,-0.00030287,-0.00030287,-9.0924e-07
9,164,0,0.95981,-0.00030068,-0.00030068,-9.1968e-07
9,165,0,0.96041,-0.00029846,-0.00029846,-9.3006e-07
9,166,0,0.961,-0.00029622,-0.00029622,-9.404e-07
9,167,0,0.96158,-0.00029396,-0.00029396,-9.5072e-07
9,168,0,0.96217,-0.00029167,-0.00029167,-9.6105e-07
9,169,0,0.96274,-0.00028935,-0.00028935,-9.7142e-07
9,170,0,0.96332,-0.00028701,-0.00028701,-9.8185e-07
9,171,0,0.96388,-0.00028465,-0.00028465,-9.9238e-07
9,172,0,0.96445,-0.00028226,-0.00028226,-1.003e-06
9,173,0,0.96501,-0.00027984,-0.00027984,-1.0138e-06
9,174,0,0.96556,-0.0002774,-0.0002774,-1.0248e-06
9,175,0,0.96611,-0.00027493,-0.00027493,-1.0359e-06
9,176,0,0.96665,-0.00027244,-0.00027244,-1.0473e-06
9,177,0,0.96719,-0.00026991,-0.00026991,-1.059e-06
9,178,0,0.96772,-0.00026736,-0.00026736,-1.0709e-06
9,179,0,0.96825,-0.00026478,-0.00026478,-1.0831e-06
9,180,0,0.96878,-0.00026217,-0.00026217,-1.0957e-06
9,181,0,0.96929,-0.00025953,-0.00025953,-1.1086e-06
9,182,0,0.96981,-0.00025686,-0.00025686,-1.122e-06
9,183,0,0.97031,-0.00025415,-0.00025415,-1.1358e-06
9,184,0,0.97082,-0.00025141,-0.00025141,-1.15e-06
9,185,0,0.97131,-0.00024864,-0.00024864,-1.1647e-06
9,186,0,0.9718,-0.00024583,-0.00024583,-1.1799e-06
9,187,0,0.97229,-0.00024298,-0.00024298,-1.1957e-06
9,188,0,0.97277,-0.0002401,-0.0002401,-1.212e-06
9,189,0,0.97324,-0.00023717,-0.00023717,-1.2289e-06
9,190,0,0.97371,-0.0002342,-0.0002342,-1.2465e-06
9,191,0,0.97417,-0.00023119,-0.00023119,-1.2647e-06
9,192,0,0.97463,-0.00022814,-0.00022814,-1.2837e-06
9,193,0,0.97508,-0.00022504,-0.00022504,-1.3033e-06
9,194,0,0.97552,-0.00022189,-0.00022189,-1.3237e-06
9,195,0,0.97596,-0.00021869,-0.00021869,-1.3449e-06
9,196,0,0.97639,-0.00021544,-0.00021544,-1.3668e-06
9,197,0,0.97682,-0.00021214,-0.00021214,-1.3897e-06
9,198,0,0.97724,-0.00020878,-0.00020878,-1.4133e-06
9,199,0,0.97765,-0.00020536,-0.00020536,-1.4379e-06
9,200,0,0.97805,-0.00020188,-0.00020188,-1.4634e-06
9,201,0,0.97845,-0.00019834,-0.00019834,-1.4898e-06
9,202,0,0.97884,-0.00019474,-0.00019474,-1.5172e-06
9,203,0,0.97922,-0.00019107,-0.00019107,-1.5456e-06
9,204,0,0.9796,-0.00018733,-0.00018733,-1.575e-06
9,205,0,0.97997,-0.00018352,-0.00018352,-1.6054e-06
9,206,0,0.98033,-0.00017963,-0.00017963,-1.6368e-06
9,207,0,0.98068,-0.00017567,-0.00017567,-1.6693e-06
9,208,0,0.98102,-0.00017163,-0.00017163,-1.7028e-06
9,209,0,0.98136,-0.0001675,-0.0001675,-1.7374e-06
9,210,0,0.98169,-0.0001633,-0.0001633,-1.7731e-06
9,211,0,0.98201,-0.000159,-0.000159,-1.8098e-06
9,212,0,0.98232,-0.00015462,-0.00015462,-1.8475e-06
9,213,0,0.98262,-0.00015014,-0.00015014,-1.8862e-06
9,214,0,0.98292,-0.00014558,-0.00014558,-1.9259e-06
9,215,0,0.9832,-0.00014091,-0.00014091,-1.9665e-06
9,216,0,0.98348,-0.00013615,-0.00013615,-2.008e-06
9,217,0,0.98374,-0.00013128,-0.00013128,-2.0502e-06
9,218,0,0.984,-0.00012632,-0.00012632,-2.0931e-06
9,219,0,0.98424,-0.00012125,-0.00012125,-2.1366e-06
9,220,0,0.98448,-0.00011608,-0.00011608,-2.1805e-06
9,221,0,0.9847,-0.0001108,-0.0001108,-2.2245e-06
9,222,0,0.98492,-0.00010542,-0.00010542,-2.2686e-06
9,223,0,0.98512,-9.9928e-05,-9.9928e-05,-2.3125e-06
9,224,0,0.98531,-9.4334e-05,-9.4334e-05,-2.3557e-06
9,225,0,0.9855,-8.8638e-05,-8.8638e-05,-2.398e-06
9,226,0,0.98567,-8.2842e-05,-8.2842e-05,-2.4389e-06
9,227,0,0.98583,-7.6951e-05,-7.6951e-05,-2.4779e-06
9,228,0,0.98597,-7.0968e-05,-7.0968e-05,-2.5142e-06
9,229,0,0.98611,-6.4902e-05,-6.4902e-05,-2.5472e-06
9,230,0,0.98623,-5.8762e-05,-5.8762e-05,-2.5758e-06
9,231,0,0.98634,-5.2558e-05,-5.2558e-05,-2.599e-06
9,232,0,0.98644,-4.6305e-05,-4.6305e-05,-2.6154e-06
9,233,0,0.98652,-4.0022e-05,-4.0022e-05,-2.6234e-06
9,234,0,0.9866,-3.3729e-05,-3.3729e-05,-2.6209e-06
9,235,0,0.98666,-2.7453e-05,-2.7453e-05,-2.6056e-06
9,236,0,0.98671,-2.1228e-05,-2.1228e-05,-2.5745e-06
9,237,0,0.98674,-1.5093e-05,-1.5093e-05,-2.5243e-06
9,238,0,0.98676,-9.0967e-06,-9.0967e-06,-2.4506e-06
9,239,0,0.98678,-3.2978e-06,-3.2978e-06,-2.3485e-06
9,240,0,0.98678,2.2345e-06,2.2345e-06,-2.2123e-06
9,241,0,0.98676,7.4186e-06,7.4186e-06,-2.0358e-06
9,242,0,0.98674,1.2163e-05,1.2163e-05,-1.8133e-06
9,243,0,0.98671,1.6372e-05,1.6372e-05,-1.5428e-06
9,244,0,0.98667,1.9969e-05,1.9969e-05,-1.2335e-06
9,245,0,0.98661,2.2954e-05,2.2954e-05,-9.3245e-07
9,246,0,0.98655,2.5577e-05,2.5577e-05,-7.8194e-07
9,247,0,0.98647,2.8874e-05,2.8874e-05,-1.3966e-06
9,248,0,0.98637,3.6589e-05,3.6589e-05,-4.4622e-06
9,249,0,0.98621,6.3666e-05,6.3666e-05,-2.2534e-05
9,250,0,0.9859,0.00017623,0.00017623,-9.0011e-05
9,251,0,0.98515,0.00074404,0.00074404,-0.00065174
9,252,0,1.7522,0.44777,0.44777,0.4584
9,253,0,1.7873,0.37988,0.37988,0.24486
9,254,0,1.6706,0.24701,0.24701,0.096148
9,255,0,1.5626,0.17148,0.17148,0.051357
9,256,0,1.4734,0.12616,0.12616,0.029508
9,257,0,1.402,0.097467,0.097467,0.01902
9,258,0,1.3441,0.078054,0.078054,0.01307
9,259,0,1.2963,0.064223,0.064223,0.009467
9,260,0,1.2561,0.053955,0.053955,0.0071276
9,261,0,1.2219,0.046078,0.046078,0.0055339
9,262,0,1.1923,0.039874,0.039874,0.0044038
9,263,0,1.1665,0.03488,0.03488,0.0035762
9,264,0,1.1438,0.030787,0.030787,0.0029538
9,265,0,1.1237,0.02738,0.02738,0.0024749
9,266,0,1.1057,0.024508,0.024508,0.0020994
9,267,0,1.0895,0.022057,0.022057,0.0017999
9,268,0,1.0749,0.019947,0.019947,0.0015576
9,269,0,1.0616,0.018113,0.018113,0.001359
9,270,0,1.0496,0.016508,0.016508,0.0011944
9,271,0,1.0386,0.015092,0.015092,0.0010566
9,272,0,1.0285,0.013836,0.013836,0.00094015
9,273,0,1.0193,0.012716,0.012716,0.00084099
9,274,0,1.0107,0.011712,0.011712,0.00075588
9,275,0,1.0029,0.010807,0.010807,0.00068236
9,276,0,0.99562,0.0099895,0.0099895,0.00061845
9,277,0,0.9889,0.0092469,0.0092469,0.00056257
9,278,0,0.98267,0.0085704,0.0085704,0.00051345
9,279,0,0.97689,0.0079521,0.0079521,0.00047008
9,280,0,0.97152,0.0073852,0.0073852,0.00043161
9,281,0,0.96652,0.0068642,0.0068642,0.00039733
9,282,0,0.96187,0.006384,0.006384,0.00036668
9,283,0,0.95755,0.0059404,0.0059404,0.00033917
9,284,0,0.95351,0.0055296,0.0055296,0.00031439
9,285,0,0.94975,0.0051486,0.0051486,0.000292
9,286,0,0.94625,0.0047944,0.0047944,0.00027171
9,287,0,0.94298,0.0044646,0.0044646,0.00025327
9,288,0,0.93994,0.0041569,0.0041569,0.00023647
9,289,0,0.9371,0.0038694,0.0038694,0.00022112
9,290,0,0.93445,0.0036004,0.0036004,0.00020706
9,291,0,0.93198,0.0033484,0.0033484,0.00019415
9,292,0,0.92968,0.0031119,0.0031119,0.00018228
9,293,0,0.92754,0.0028898,0.0028898,0.00017134
9,294,0,0.92555,0.0026809,0.0026809,0.00016124
9,295,0,0.9237,0.0024843,0.0024843,0.00015189
9,296,0,0.92198,0.0022989,0.0022989,0.00014322
9,297,0,0.92038,0.0021241,0.0021241,0.00013517
9,298,0,0.9189,0.001959,0.001959,0.00012769
9,299,0,0.91754,0.001803,0.001803,0.00012072
9,300,0,0.91628,0.0016554,0.0016554,0.00011422
9,301,0,0.91511,0.0015158,0.0015158,0.00010814
9,302,0,0.91405,0.0013835,0.0013835,0.00010246
9,303,0,0.91307,0.0012582,0.0012582,9.7134e-05
9,304,0,0.91217,0.0011393,0.0011393,9.2142e-05
9,305,0,0.91136,0.0010265,0.0010265,8.7454e-05
9,306,0,0.91062,0.00091938,0.00091938,8.3047e-05
9,307,0,0.90995,0.00081766,0.00081766,7.8899e-05
9,308,0,0.90936,0.000721,0.000721,7.4991e-05
9,309,0,0.90882,0.0006291,0.0006291,7.1305e-05
9,310,0,0.90835,0.00054169,0.00054169,6.7825e-05
9,311,0,0.90794,0.00045853,0.00045853,6.4537e-05
9,312,0,0.90759,0.00037939,0.00037939,6.1427e-05
9,313,0,0.90728,0.00030405,0.00030405,5.8482e-05
9,314,0,0.90703,0.0002323,0.0002323,5.5693e-05
9,315,0,0.90683,0.00016396,0.00016396,5.3047e-05
9,316,0,0.90668,9.8858e-05,9.8858e-05,5.0536e-05
9,317,0,0.90656,3.6824e-05,3.6824e-05,4.8152e-05
9,318,0,0.90649,-2.2292e-05,-2.2292e-05,4.5885e-05
9,319,0,0.90646,-7.8635e-05,-7.8635e-05,4.3729e-05
9,320,0,0.90647,-0.00013234,-0.00013234,4.1677e-05
9,321,0,0.90652,-0.00018353,-0.00018353,3.9723e-05
9,322,0,0.9066,-0.00023233,-0.00023233,3.7861e-05
9,323,0,0.90671,-0.00027885,-0.00027885,3.6085e-05
9,324,0,0.90685,-0.0003232,-0.0003232,3.4391e-05
